96.21945992284611,
96.34947849692813,
96.72381768824116,
96.58665523646232,
96.92527503929131,
94.21917416773823,
90.45863694813545,
96.73810544363482,
97.053864837834,
96.14230604372051,
96.7695385055008,
96.11658808401194,
95.95799399914267,
95.53936276610943,
89.09558508358327,
91.8802686098013,
96.49378482640373,
95.96513787683966,
96.92384626375224,
96.28232604657796,
76.51093013287641,
96.48806972424586,
96.7638234033434,
90.9601371624517,
96.69381340191467,
96.91670238605502,
96.4337762537507,
96.78525503643368,
96.15230747249598,
96.69095585083596,
94.76353764823534,
96.38234033433355,
96.60951564509196,
95.7565366480926,
94.14344906415181,
96.03229032718946,
96.89955707958279,
96.89527075296473,
96.86098014001982,
96.62808972710354,
96.47235319331367,
96.55950850121508,
96.83811973139018,
97.01100157165274,
96.57665380768685,
96.80525789398507,
96.78668381197349,
92.61037291041612,
96.40520074296364,
96.51378768395443,
96.65809401343085,
96.75096442348877,
95.43077582511796,
96.33519074153446,
96.28946992427518,
94.66495213601944,
95.61937419631376,
96.90527218174026,
96.93099014144877,
96.51664523503354,
97.03814830690101,
75.07215316473787,
96.51235890841554,
96.2323189027004,
96.68809829975714,
95.75796542363207,
96.87098156879551,
96.70381483069013,
96.84097728246888,
96.5623660522931,
95.95942277468203,
96.38805543649096,
96.750964423489,
96.75239319902835,
95.43506215173602,
96.34662094584928,
96.58808401200213,
96.41805972281736,
96.4109158451206,
90.27575367909685,
96.58808401200167,
95.83797685383615,
96.72524646378042,
77.9982854693526,
96.44092013144746,
96.85097871124435,
97.10244320617221,
97.00242891841708,
94.0062866123726,
95.95942277468203,
96.86812401771749,
96.60951564509196,
96.94242034576337,
96.44520645806551,
95.79511358765603,
96.42948992713264,
81.01871695956561,
95.77368195456484,
96.74667809687116,
93.256179454208,
95.26490927275329,
3.91490511682282,
